,age,workclass,fnlgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,salary
0,39,State-gov,77516,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,1,2174,0,40,United-States,0
1,50,Self-emp-not-inc,83311,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,13,United-States,0
2,38,Private,215646,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,1,0,0,40,United-States,0
3,53,Private,234721,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,1,0,0,40,United-States,0
4,28,Private,338409,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,0,0,0,40,Cuba,0
5,37,Private,284582,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,0,0,0,40,United-States,0
6,49,Private,160187,9th,5,Married-spouse-absent,Other-service,Not-in-family,Black,0,0,0,16,Jamaica,0
7,52,Self-emp-not-inc,209642,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,45,United-States,1
8,31,Private,45781,Masters,14,Never-married,Prof-specialty,Not-in-family,White,0,14084,0,50,United-States,1
9,42,Private,159449,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,1,5178,0,40,United-States,1
10,37,Private,280464,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,1,0,0,80,United-States,1
11,30,State-gov,141297,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,1,0,0,40,India,1
12,23,Private,122272,Bachelors,13,Never-married,Adm-clerical,Own-child,White,0,0,0,30,United-States,0
13,32,Private,205019,Assoc-acdm,12,Never-married,Sales,Not-in-family,Black,1,0,0,50,United-States,0
14,34,Private,245487,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,1,0,0,45,Mexico,0
15,25,Self-emp-not-inc,176756,HS-grad,9,Never-married,Farming-fishing,Own-child,White,1,0,0,35,United-States,0
16,32,Private,186824,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,1,0,0,40,United-States,0
17,38,Private,28887,11th,7,Married-civ-spouse,Sales,Husband,White,1,0,0,50,United-States,0
18,43,Self-emp-not-inc,292175,Masters,14,Divorced,Exec-managerial,Unmarried,White,0,0,0,45,United-States,1
19,40,Private,193524,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,60,United-States,1
20,54,Private,302146,HS-grad,9,Separated,Other-service,Unmarried,Black,0,0,0,20,United-States,0
21,35,Federal-gov,76845,9th,5,Married-civ-spouse,Farming-fishing,Husband,Black,1,0,0,40,United-States,0
22,43,Private,117037,11th,7,Married-civ-spouse,Transport-moving,Husband,White,1,0,2042,40,United-States,0
23,59,Private,109015,HS-grad,9,Divorced,Tech-support,Unmarried,White,0,0,0,40,United-States,0
24,56,Local-gov,216851,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,1,0,0,40,United-States,1
25,19,Private,168294,HS-grad,9,Never-married,Craft-repair,Own-child,White,1,0,0,40,United-States,0
26,54,?,180211,Some-college,10,Married-civ-spouse,?,Husband,Asian-Pac-Islander,1,0,0,60,South,1
27,39,Private,367260,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,1,0,0,80,United-States,0
28,49,Private,193366,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,40,United-States,0
29,23,Local-gov,190709,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,White,1,0,0,52,United-States,0
30,20,Private,266015,Some-college,10,Never-married,Sales,Own-child,Black,1,0,0,44,United-States,0
31,45,Private,386940,Bachelors,13,Divorced,Exec-managerial,Own-child,White,1,0,1408,40,United-States,0
32,30,Federal-gov,59951,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White,1,0,0,40,United-States,0
33,22,State-gov,311512,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,1,0,0,15,United-States,0
34,48,Private,242406,11th,7,Never-married,Machine-op-inspct,Unmarried,White,1,0,0,40,Puerto-Rico,0
35,21,Private,197200,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,1,0,0,40,United-States,0
36,19,Private,544091,HS-grad,9,Married-AF-spouse,Adm-clerical,Wife,White,0,0,0,25,United-States,0
37,48,Self-emp-not-inc,265477,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,40,United-States,0
38,31,Private,507875,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,1,0,0,43,United-States,0
39,53,Self-emp-not-inc,88506,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,40,United-States,0
40,24,Private,172987,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,1,0,0,50,United-States,0
41,49,Private,94638,HS-grad,9,Separated,Adm-clerical,Unmarried,White,0,0,0,40,United-States,0
42,25,Private,289980,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,1,0,0,35,United-States,0
43,57,Federal-gov,337895,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,1,0,0,40,United-States,1
44,53,Private,144361,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,1,0,0,38,United-States,0
45,44,Private,128354,Masters,14,Divorced,Exec-managerial,Unmarried,White,0,0,0,40,United-States,0
46,41,State-gov,101603,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,40,United-States,0
47,29,Private,271466,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,1,0,0,43,United-States,0
48,25,Private,32275,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Other,0,0,0,40,United-States,0
49,47,Private,51835,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,0,0,1902,60,Honduras,1
50,50,Federal-gov,251585,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,1,0,0,55,United-States,1
51,47,Self-emp-inc,109832,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,1,0,0,60,United-States,0
52,43,Private,237993,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,1,0,0,40,United-States,1
53,46,Private,216666,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,1,0,0,40,Mexico,0
54,35,Private,56352,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,1,0,0,40,Puerto-Rico,0
55,41,Private,147372,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,1,0,0,48,United-States,0
56,30,Private,188146,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,1,5013,0,40,United-States,0
57,30,Private,59496,Bachelors,13,Married-civ-spouse,Sales,Husband,White,1,2407,0,40,United-States,0
58,48,Private,149640,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,1,0,0,40,United-States,0
59,42,Private,116632,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,45,United-States,1
60,29,Private,105598,Some-college,10,Divorced,Tech-support,Not-in-family,White,1,0,0,58,United-States,0
61,36,Private,155537,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,40,United-States,0
62,28,Private,183175,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,0,0,0,40,United-States,0
63,53,Private,169846,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,0,0,0,40,United-States,1
64,49,Self-emp-inc,191681,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,50,United-States,1
65,25,?,200681,Some-college,10,Never-married,?,Own-child,White,1,0,0,40,United-States,0
66,19,Private,101509,Some-college,10,Never-married,Prof-specialty,Own-child,White,1,0,0,32,United-States,0
67,31,Private,309974,Bachelors,13,Separated,Sales,Own-child,Black,0,0,0,40,United-States,0
